video,query
13488560_2160_3840_19fps.mp4,find all frames where three motorcycles exist in frame
13488560_2160_3840_19fps.mp4,find all frames where a taxi is in frame
13488560_2160_3840_19fps.mp4,find all frames where a motorcycle is moving
15106661_2560_1440_30fps.mp4,find all frames where the advertisement panel is clearly seen
15106661_2560_1440_30fps.mp4,find all frames where a person is walking
15106661_2560_1440_30fps.mp4,find all frames where a car is moving
14492440_2160_3840_29fps.mp4,find all frames where there are flowers
14492440_2160_3840_29fps.mp4,find all frames where there is a human
14492440_2160_3840_29fps.mp4,find are frames where there is a hand moving
14671265_3840_2160_24fps.mp4,find the frames where the butterfly is flying off the flower
14671265_3840_2160_24fps.mp4,find the frames where the butterfly is on the flower
4821002-hd_1080_1920_25fps.mp4,find all frames where a man is smiling
4821002-hd_1080_1920_25fps.mp4,fin all frames where a woman is smiling
4821002-hd_1080_1920_25fps.mp4,find all frames where a woman is not smiling
9278564-hd_1920_1080_30fps.mp4,find all frames where a bird is flying
9278564-hd_1920_1080_30fps.mp4,find all frames where there is a parachute
9278564-hd_1920_1080_30fps.mp4,find all frames where there is a airplane
Do you like the sound of a swish_ #asmr #swish #basketball #viral #shorts #asmrbasketball #fyp.mp4,find all frames where person is jumping
Do you like the sound of a swish_ #asmr #swish #basketball #viral #shorts #asmrbasketball #fyp.mp4,find all frames where a basketball is going inside the hoop
How to dice an onion.mp4,find all frames where there is a woman in frame
How to dice an onion.mp4,find all frames where there is a knife in frame
How to dice an onion.mp4,find all frames where there are hands in frame
How to dice an onion.mp4,find all frames where there is an onion in frame
The All New KFC 5-in-1 Meal Box.mp4,find all frames where there is a person in frame
The All New KFC 5-in-1 Meal Box.mp4,find all frames where there is a hand moving
The All New KFC 5-in-1 Meal Box.mp4,find all frames where there is a watch in frame
VIRAT_S_000201_02_000590_000623.mp4,find all frames where there is a red car in frame
VIRAT_S_000201_02_000590_000623.mp4,find all frames where there is a car moving in frame
VIRAT_S_000201_02_000590_000623.mp4,find all frames where there is a person walking in frame
VIRAT_S_010205_01_000207_000288.mp4,find all frames where there is a person walking in frame
VIRAT_S_010205_01_000207_000288.mp4,find all frames where there is a person close to pole in the middle
VIRAT_S_010205_01_000207_000288.mp4,find all frames where there is a bicycle rider
YTDown_YouTube_Little-girl-nearly-hit-by-car-in-Califor_Media_OXO01PKSuVA_001_720p.mp4,find all frames where there is a person walking
YTDown_YouTube_Little-girl-nearly-hit-by-car-in-Califor_Media_OXO01PKSuVA_001_720p.mp4,find all frames where a car is too close to a person
YTDown_YouTube_Little-girl-nearly-hit-by-car-in-Califor_Media_OXO01PKSuVA_001_720p.mp4,find all frames where there is a person running
dogchild.mp4,find all frames where there is a dog in frame
dogchild.mp4,find all frames where there is a black dog in frame
dogchild.mp4,find all frames where both a dog and a baby is in frame
videoplayback.mp4,find all frames where there is a red pepper in frame
videoplayback.mp4,find all frames where there is a man
videoplayback.mp4,find all frames where there is a knife moving
videoplayback.mp4,find all frames there are fingers in frame
vidssave.com Extraction _ One-Shot Gun Fight Scene 720p.mp4,find all frames where there is a gun in frame
vidssave.com Extraction _ One-Shot Gun Fight Scene 720p.mp4,find all frame where there are two people in frame
vidssave.com Extraction _ One-Shot Gun Fight Scene 720p.mp4,find all frames where there is a boy moving in frame
vidssave.com FASTEST AMBULANCE EVER! 1080P.mp4,find all frames where there is an ambulance in frame
vidssave.com FASTEST AMBULANCE EVER! 1080P.mp4,find all frames where there is a bicycle in frame
vidssave.com FASTEST AMBULANCE EVER! 1080P.mp4,find all frames where there is a moving black car in frame
vidssave.com FREE STOCK FOOTAGE- Traffic on the streets 1080P.mp4,find all frames where there is a person in frame
vidssave.com FREE STOCK FOOTAGE- Traffic on the streets 1080P.mp4,find all frames where there is a male with a red tshirt
vidssave.com FREE STOCK FOOTAGE- Traffic on the streets 1080P.mp4,find all frames where there is a white car
vidssave.com How To Dice an Onyo (Onion) 720P.mp4,find all frames where there is a knife
vidssave.com How To Dice an Onyo (Onion) 720P.mp4,find all frames where there is onion in the frame
vidssave.com How To Dice an Onyo (Onion) 720P.mp4,find all frames where there is a man in frame
vidssave.com Rain Sounds   15 seconds soundtrack 480p.mp4,find all frames where there is a cat
vidssave.com Rain Sounds   15 seconds soundtrack 480p.mp4,find all frames where there is water in frame
vidssave.com Rain Sounds   15 seconds soundtrack 480p.mp4,find all frames where there is a tree in frame
vidssave.com When My City's Traffic Lights Turn Off __ ViralHog 720P.mp4,find all frames where two cars are too close to each other
vidssave.com When My City's Traffic Lights Turn Off __ ViralHog 720P.mp4,find all frames where there is a red car moving
